Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GUARD VHF,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Emergency,,,,
1,GUARD UHF,243.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Emergency,,,,
2,119.000,119.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Chicago Approach,,,,
3,124.350,124.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Chicago Approach,,,,
4,125.700,125.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Chicago Approach,,,,
5,133.625,133.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Chicago Approach,,,,
6,125.000,125.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Chicago Departure,,,,
7,125.625,126.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Chicago Departure,,,,
8,09L 27R,128.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
9,09C 27C,121.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
10,09R 27L,126.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
11,10L 28R,132.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
12,10C 28C,120.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
13,10R 28L,133.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
14,GND NORTH,124.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
15,GND SOUTH,118.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
16,GND CENTER,134.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
17,GND CENTER,226.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
18,GND CEN IN,121.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
19,GND CEN OU,121.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
20,GND CEN OU,121.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
21,CLEARANCE,121.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
22,CLEARANCE,119.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
23,CLASS B NO,120.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,5.0W,,,,,
24,CLASS B SE,128.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
25,CLASS B SO,133.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
26,ALCP,252.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
27,IC,119.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
