Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,GUARD VHF,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Emergency,,,,
1,GUARD UHF,243.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Emergency,,,,
2,119.200,119.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
3,120.100,120.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
4,120.400,120.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
5,121.100,121.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
6,123.900,123.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
7,125.600,125.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
8,125.900,125.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
9,126.500,126.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
10,128.500,128.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Seattle Center - Approach and Departures,,,,
11,KSEA FINAL,133.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
12,SEA 16L34R,119.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,KSEA Tower Runways 1 2,,,,
13,KSEA UHF,239.300000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,KSEA Tower UHF,,,,
14,SEA 16R34L,120.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,KSEA Tower Runway 3,,,,
15,KSEA GRND,121.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,KSEA Ground,,,,
16,RAMP SOUTH,122.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
17,GATE HOLD,126.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
18,RAMP NORTH,126.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
19,KSEA CLEAR,128.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Clearance Delivery,,,,
20,UNICOM,122.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,KSEA KBFI KRNT UNICOM,,,,
24,KBFI GRND,121.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,KBFI Ground,,,,
25,KBFI CLEAR,132.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,Clearance Delivery,,,,
26,KBFI IFR,257.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
27,KBFI ATIS,127.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,1.5W,,,,,
