Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
2,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
3,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
4,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
5,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
6,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
7,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
8,FRS 08,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,2.0W,,,,,
9,FRS 09,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,2.0W,,,,,
10,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,2.0W,,,,,
11,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,2.0W,,,,,
12,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,2.0W,,,,,
13,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,2.0W,,,,,
14,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,2.0W,,,,,
15,GMRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
16,GMRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
17,GMRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
18,GMRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
19,GMRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
20,GMRS 20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
21,GMRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
