Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,AMR Talk,155.220000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
1,AMR Dispatch,158.835000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
2,KC Fire Disp,154.070000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,Eastside Fire,154.190000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,KC MARS VHF,155.190000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
5,KC MARS UHF,460.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,SFD,154.250000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,SFD,154.340000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,SFD 600,453.600000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,SFD 700,453.700000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,SFD 800,453.800000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,SPL CEN,451.537500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SEATTLE PUBLIC LIBRARY ,,,,
21,SEATTLE,451.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,CITY OF SEATTLE KOG329 1417 WARREN AVE,,,,
22,SEA 1,451.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,CITY OF SEATTLE KOG329,,,,
23,SEA 4,456.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,CITY OF SEATTLE KOG329,,,,
24,SEA 2,451.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,CITY OF SEATTLE KOG329,,,,
25,SEA 5,456.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,CITY OF SEATTLE KOG329,,,,
26,SEA 3,451.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,CITY OF SEATTLE KOG329,,,,
27,SEA 6,456.512500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,CITY OF SEATTLE KOG329,,,,
32,ZOO 1,452.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,WOODLAND PARK ZOO WQST945,,,,
33,ZOO 2,452.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,WOODLAND PARK ZOO WQST945,,,,
34,SEAQU1,451.337500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SEATTLE AQUARIUM WQJN969 REPEATER 1,,,,
35,SEAQU2,452.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,SEATTLE AQUARIUM WQJN969 REPEATER2,,,,
36,AQUAS1,451.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,SEATTLE AQUARIUM WQJN969,,,,
37,AQUAS2,456.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,SEATTLE AQUARIUM WQJN969,,,,
38,AQUAS3,456.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,SEATTLE AQUARIUM WQJN969,,,,
42,KC H20,451.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,KING CTY RENTON & BRIGHTWATER PLANTS,,,,
43,KC RNT,456.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,KING CTY WATER RENTON MOBILES,,,,
44,KC HQ,451.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,KING CTY BOTTHELL possibly HQ,,,,
45,NUD R1,153.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,NORTHSHORE UTILITY DIST KAP925 FB2 110W 8204 NE 150TH ST KENMORE,,,,
46,NUD R2,158.190000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,NORTHSHORE UTILITY DIST KAP925 FB 110W 12019 HOLMES PT ROAD KIRKLAND,,,,
47,NUDVHF,159.907500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,NORTHSHORE UTILITY DIST KAP925 MO 110W,,,,
48,NUDUHF,456.087500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,NORTHSHORE UTILITY DIST KAP925 MO 110W,,,,
65,SPUNIV,451.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SEATTLE PACIFIC UNI WPVN376,,,,
70,UW Med 75w,462.850000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
71,UWHORT,153.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,UNIV OF WASH DEPT OF URBAN HORT WREN885 FB2,,,,
