Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KTF Dispatch,154.370000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,CENTRAL KITSAP FIRE AND RESCUE DISPATCH KAU749,,,,
1,KT Fire 2,155.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Dispatch,,,,
2,KT Fire 3,155.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire Tac,,,,
3,KT Fire 4,153.770000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Fire Tac,,,,
4,KT Fire 5,154.415000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,WQGD975 CENCOM Kitsap 911,,,,
5,KTF Tac 7,155.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,WQEM453 ,,,,
6,KTF Tac 8,155.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,WQEM453,,,,
7,KTF Tac 9,159.465000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Multi Tac,,,,
8,KTF Tac 10,153.815000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,WQEM301 CENCOM Kitsap 911 around Bremerton,,,,
9,KT OP11,155.895000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Bremerton PW KVW93,,,,
10,KT OP12,156.015000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Poulsbo FD KQW507,,,,
11,KT OP14,155.670000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Eagle Harbor BIPD2 KB62943,,,,
12,KT OP15,158.730000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,WQEM301,,,,
13,MED 08,463.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,MED 10,462.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
15,OLYAMB,462.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,WNHJ395,,,,
16,KTLE 1N,155.685000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,LE1 North WQEM453,,,,
17,KTLE 2S,155.430000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,LE2 South KAQ219,,,,
