Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,KING 5,455.512500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,K5CHOP,455.612500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,KIRO 7,455.687500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,K7CHOP1,161.640000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,K7CHOP2,450.687500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,K7FEED,450.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
7,KOMO 4,455.112500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
8,K4CHOP,450.412500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
10,SNCLR1,450.412500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SINCLAIR SEATTLE KEH627,,,,
11,SNCLR2,450.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SINCLAIR SEATTLE KEH627,,,,
12,SNCLR3,450.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SINCLAIR SEATTLE KEH627,,,,
13,SNCLR4,455.112500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SINCLAIR SEATTLE KEH627,,,,
14,SNCRL5,455.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SINCLAIR SEATTLE KEH627,,,,
15,SNCLR6,455.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SINCLAIR SEATTLE KEH627,,,,
16,TTWN 1,450.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,TTWN NETWORKS KING5 KPK895 701 5TH ,,,,
17,TTWN 2,450.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,TTWN NETWORKS KING5 KPK895 KPK893 BUCK MTN,,,,
18,TTWN3,455.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,TTWN NETWORKS KING5 KPK895 TIGER MTN,,,,
19,TTWN 3,455.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,TTWN NETWORKS KING5 KPK895 1686 MINARD RD W BREMERTON,,,,
20,KING 1,450.512500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,KING TEGNA KSV483,,,,
21,KING 2,450.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,KING TEGNA KSV483,,,,
22,KING 3,455.512500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,KING TEGNA KSV483,,,,
23,KING 4,455.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,KING TEGNA KSV483,,,,
24,SEATIM,452.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,SEATTLE TIMES WNMN389 TIGER MTN,,,,
