Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,PC MARS,151.355000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pierce County Mutual Aid,,,,
1,PC Fire Disp D1,153.890000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pierce Fire Dispatch D1,,,,
2,PC FIRE MA D3,154.160000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pierce Fire Dispatch D3 Mutual Aid,,,,
3,PC Fire E1,159.090000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pierce Fire Dispatch E1,,,,
4,PC Fire E2,150.790000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pierce Fire Dispatch E2,,,,
5,PC Fire E3 TAC,155.640000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Pierce Fire Dispatch TAC,,,,
10,TacFD Disp,154.130000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Tacoma Fire Dispatch,,,,
11,TacFD Disp2,154.430000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Tacoma Fire Dispatch 2,,,,
169,1A POR,156.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
170,7A COM,156.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
171,08 COM,156.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
172,10 COM,156.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
173,15 EPR,156.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
174,17 STA,156.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
175,18A CO,156.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
176,19A CO,156.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
177,20 POR,161.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
178,20A PR,157.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
179,21A CG,157.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
180,23A CG,157.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
181,24 PUB,161.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
182,25 PUB,161.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
183,26 PUB,161.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
184,27 PUB,161.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
185,28 PUB,162.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
186,63A PR,156.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
187,65A PR,156.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
188,73 POR,156.675000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
189,77 SHI,156.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
190,79A CO,156.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
191,80A CO,157.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
192,81A EN,157.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
193,82A GO,157.125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
194,83A CG,157.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
195,84 PUB,161.825000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
196,85 PUB,161.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
197,86 PUB,161.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
198,87 PUB,157.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
199,88 PUB,157.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
