Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,KC SAR,155.160000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,King County SAR,,,,
2,KCSARF2,154.965000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,KCSARF3,153.755000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,KC Dog,155.235000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
6,KC7SAR SKY,145.110000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,SKYKOMISH linked,,,,
7,KC7SAR SNEK,145.110000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,RATTLESNAKE RIDGE linked,,,,
10,OSCCR,156.135000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,KCLERN,155.370000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,REDNET,153.830000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Fire Command ,,,,
13,HEAR 340,155.340000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,HEAR 280,155.280000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
16,WA SAR,155.160000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Washington State SAR,,,,
17,WA SAR2,155.242500,off,0.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
18,WA SAR3,155.302500,off,0.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
19,WA SAR4,155.167500,off,0.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,WA SAR5,155.182500,off,0.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
22,SNOSAR FB,155.415000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Snohomish County SAR - Repeater,,,,
23,SNOSAR CAR,155.820000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Snohomish County SAR - Car to Car,,,,
25,THURSTON SAR,155.145000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Thurston County SAR ,,,,
26,SOSOUND SAR,151.625000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,South Sound SAR,,,,
27,TCSO JEEP,155.280000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Thurston County Sheriff Jeep Patrol,,,,
29,YAK SAR-Q,145.270000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Yakima SAR,,,,
30,YAK SAR-D,146.860000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Yakima SAR,,,,
31,YAK SAR-K,147.080000,+,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Yakima SAR,,,,
32,YAK SAR-E,444.600000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Yakima SAR,,,,
