Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,WSFERRY,151.040000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,WA State Ferries dock operations,,,,
1,SDOT 2,159.052500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,SDOT Bridges,,,,
2,SDOT 1,159.060000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,SDOT Bridges,,,,
3,SDOT 3,159.067500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,SDOT Bridges,,,,
4,13  BRIDGE,156.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Intership Bridge-to-Bridge Commercial; SDOT Bridge opening hailing,,,,
5,09 HAIL,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Hailing, Boater calling",,,,
6,16  SOS,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,EMERGENCY SOS USCG Monitored,,,,
7,22A USCG,157.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"USCG additional, notices to boaters, etc.",,,,
8,71 VHF,156.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Pleasure craft,,,,
9,72 VHF,156.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Pleasure craft,,,,
10,66A MAR,156.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Puget Sound marinas,,,,
11,78A MAR,156.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Puget Sound marinas,,,,
12,67 VHF,156.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Pleasure craft,,,,
13,68 VHF,156.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Pleasure craft,,,,
14,69 VHF,156.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Pleasure craft,,,,
15,11 VTS,156.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTS Vancouver Traffic,,,,
16,12 VTS,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTS Victoria Traffic MAYBE,,,,
17,05A VTS,156.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VTS Seattle Traffic North, Juan de Fuca, Bellingham; sometimes digital",,,,
18,14 VTS,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTS Seattle Traffic - Olympia to Admiralty/Rosario Strait,,,,
21,AIS A,161.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
22,AIS B,162.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,,,,,
25,WX KHB60,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,NOAA Cougar Mtn / KIH36 Neah Bay,,,,
26,WX KAD93,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,NOAA Blaine area,,,,
27,WX WXM62,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,NOAA Capitol Peak,,,,
28,WX WXN21,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,NOAA Cle Elum / KEC91 Astoria,,,,
29,WX WWG24,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,NOAA Puget Sound Marine Forecast,,,,
32,39B WX,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
33,36B WX,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
34,97B WX,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
35,96B WX,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
36,37B WX,162.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
37,38B WX,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
38,98B WX,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
39,21B CA,161.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
40,23B CA,161.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
41,83B CA,161.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
42,25B CA,161.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
43,113B W,163.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
44,228BAS,162.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
45,127BAS,161.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,50W,WX,,,,
48,21A CG,157.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,USCG,,,,
49,23A CG,157.150000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,USCG,,,,
50,83A CG,157.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,USCG,,,,
51,06 SAFE,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
52,15 EPR,156.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
53,77 SHIP,156.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
54,1A PORT,156.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
55,20 PORT,161.600000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
56,20A PORT,157.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
57,63A PORT,156.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
58,65A PORT,156.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
59,73 PORT,156.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
60,74 PORT,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
61,77 PORT,156.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
62,7A COM,156.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,COMMERCIAL,,,,
63,08 COM,156.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
64,10 COM,156.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
65,17 STA,156.850000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
66,18A COM,156.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
67,19A COM,156.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
68,79A COM,156.975000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
69,80A COM,157.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
70,81A EN,157.075000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
