Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,HOT RR,452.937500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Head of Train Device,,,,
1,EOT RR,457.937500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,End of Train Device,,,,
2,DPU Ch1,452.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Distributed Power Unit,,,,
3,DPU Ch2,452.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Distributed Power Unit,,,,
4,DPU Ch3,457.925000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Distributed Power Unit,,,,
5,DPU Ch4,457.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,Distributed Power Unit,,,,
6,STACY 60,161.010000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Stacy Yard; SODO,,,,
7,BALMER 36,160.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Balmer Yard; Interbay,,,,
8,BLMR HUMP 80,161.310000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Balmer Yard Hump; Interbay,,,,
9,BTRR  35,160.635000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Ballard Terminal RR,,,,
10,BNSF 70,161.160000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
11,BNSF 87,161.415000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
12,BNSF 75,161.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,BNSF 66,161.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
14,BNSF 76,161.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
15,BNSF 62,161.040000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
16,BNSF 54,160.940000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
17,BNSF 84,161.370000,off,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
18,BNSF 89,161.445000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
19,BNSF 14,160.320000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,UP 27,160.515000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
21,UP 08,160.230000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
22,UP 16,160.350000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
23,UP 42,160.740000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
