Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1, GMRS 1,462.562500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
2, GMRS 2,462.587500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
3, GMRS 3,462.612500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
4, GMRS 4,462.637500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
5, GMRS 5,462.662500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
6, GMRS 6,462.687500,,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
7, GMRS 7,462.712500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,2.5W,,,,,
8, FRS 08,467.562500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
9, FRS 09,467.587500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
10, FRS 10,467.612500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
11, FRS 11,467.637500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
12, FRS 12,467.662500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
13, FRS 13,467.687500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
14, FRS 14,467.712500,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,NFM,5.00,,0.5W,,,,,
15, GMRS 15,462.550000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16, GMRS 16,462.575000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
17, GMRS 17,462.600000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18, GMRS 18,462.625000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19, GMRS 19,462.650000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20, GMRS 20,462.675000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
21, GMRS 21,462.700000,,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
22, GMRS 22,462.725000,,0.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
23, RPTR 15,462.550000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
24, RPTR 16,462.575000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
25, RPTR 17,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
26, RPTR 18,462.625000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
27, RPTR 19,462.650000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
28, RPTR 20,462.675000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
29, RPTR 21,462.700000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
30, RPTR 22,462.725000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
31,SEATTLE1,462.550000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
32,SEATTLE2,462.575000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
33,SEATTLE3,462.600000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
34,SEATTLE4,462.625000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
35,SEKRIT 5,462.650000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
36,SEATTLE6,462.675000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
38,SEATTLE8,462.725000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
